,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price Per Liter mean,2015 Volume Sold Liters mean,2015 Volume Sold Liters,Zip Code,2015 Profit Margin mean,2015 Sales Q1,First Date,Last Date
772,4604,NEWTON,1976.8,2.67135135135,24923.41,33.6802837838,50.0,17.9741986172,50208,11.2587297297,5671.78,2015-01-15,2016-03-24
773,4605,MARION,280.85,8.51060606061,3368.78,102.084242424,57.0,13.3582683983,52302,34.1693939394,848.26,2015-01-20,2016-03-01
774,4607,GUTTENBERG,130.5,9.32142857143,1765.8,126.128571429,22.0,14.9885714286,52052,42.0728571429,94.2,2015-01-22,2016-03-24
775,4608,COUNCIL BLUFFS,369.36,3.45196261682,5466.16,51.0856074766,78.0,19.359506725,51503,17.0395327103,1351.58,2015-01-05,2016-02-08
776,4609,ANKENY,365.02,6.40385964912,4569.23,80.1619298246,77.0,15.5679781013,50023,26.7863157895,730.2,2015-03-23,2016-02-08
777,4612,DAVENPORT,1162.69,7.64927631579,17346.35,114.120723684,82.0,19.8014794799,52802,38.0673684211,5213.96,2015-04-07,2016-03-22
778,4613,CARROLL,545.95,8.80564516129,5895.53,95.0891935484,14.0,11.8362749616,51401,31.7679032258,1633.77,2015-01-05,2016-03-28
779,4615,MASON CITY,2403.63,10.228212766,37761.59,160.687617021,17.0,18.0806131819,50401,53.6550638298,5631.52,2015-01-15,2016-03-31
780,4617,DES MOINES,1830.56,4.02320879121,31499.62,69.2299340659,77.0,20.9552324783,50317,23.122043956,8395.82,2015-01-06,2016-03-29
781,4619,FORT MADISON,989.52,2.88489795918,14603.4,42.5755102041,56.0,19.1722114179,52627,14.2059475219,2785.61,2015-01-08,2016-03-17
782,4620,FONTANELLE,480.75,10.4510869565,6495.09,141.197608696,1.0,18.4613354037,50846,47.0804347826,1696.56,2015-01-05,2016-03-21
783,4621,MAXWELL,233.25,11.1071428571,2594.4,123.542857143,85.0,12.382585034,50161,41.8342857143,559.32,2015-02-17,2016-03-01
784,4622,DES MOINES,407.0,4.07,6058.57,60.5857,77.0,19.4399095238,50320,20.2088,1585.32,2015-01-16,2016-02-22
785,4623,VAN METER,172.2,14.35,1653.6,137.8,25.0,12.5095238095,50261,45.975,416.52,2015-01-13,2016-03-22
786,4624,HIAWATHA,384.04,4.8005,4630.54,57.88175,57.0,16.2612366071,52233,19.311375,1054.91,2015-02-02,2016-03-28
787,4626,COUNCIL BLUFFS,450.1,5.05730337079,5261.16,59.1141573034,78.0,15.3279935795,51501,19.7164044944,767.98,2015-01-08,2016-03-03
788,4627,SULLY,139.5,15.5,2091.12,232.346666667,50.0,13.0416402116,50251,77.4666666667,60.84,2015-02-11,2016-03-09
789,4628,OELWEIN,597.37,9.48206349206,7652.24,121.464126984,33.0,15.8628760393,50662,40.6438095238,2439.39,2015-03-09,2016-01-15
790,4629,GLENWOOD,571.69,6.57114942529,7270.1,83.5643678161,65.0,16.5138711002,51534,27.8979310345,1344.63,2015-01-27,2016-02-09
791,4630,DAVENPORT,1187.35,10.1482905983,22288.42,190.499316239,82.0,19.0822547823,52803,63.5958974359,3682.1,2015-01-06,2016-03-29
792,4631,CEDAR FALLS,362.05,9.28333333333,3995.99,102.461282051,7.0,14.8800610501,50613,34.2833333333,1300.79,2015-01-07,2016-03-30
793,4633,CARTER LAKE,592.85,4.98193277311,7907.59,66.4503361345,78.0,16.7835843699,51510,22.1679831933,1894.4,2015-01-06,2016-03-29
794,4634,CEDAR RAPIDS,307.5,4.58955223881,4536.79,67.7132835821,57.0,18.0777967306,52402,22.6086567164,1373.38,2015-01-26,2016-03-21
795,4635,CEDAR RAPIDS,132.94,3.3235,2135.12,53.378,57.0,20.2348799392,52405,17.84125,900.38,2015-01-05,2016-03-14
796,4636,CEDAR RAPIDS,113.92,3.07891891892,2441.95,65.9986486486,57.0,23.5585309865,52402,22.0218918919,445.07,2015-01-12,2016-03-14
797,4637,CEDAR RAPIDS,518.04,3.19777777778,6735.91,41.579691358,57.0,17.0312487179,52404,13.8704938272,1350.19,2015-01-20,2016-03-29
798,4638,DAVENPORT,1578.25,11.3543165468,35719.18,256.972517986,82.0,20.5103978471,52804,85.7203597122,4003.61,2015-01-07,2016-03-30
799,4640,DAVENPORT,758.13,6.83,16894.0,152.198198198,82.0,25.2656964483,52807,50.7737837838,5492.36,2015-01-13,2016-03-29
800,4641,DES MOINES,491.05,3.16806451613,6399.49,41.2870322581,77.0,17.3512714034,50315,13.7955483871,1528.26,2015-03-16,2015-04-06
801,4642,WATERLOO,846.36,7.29620689655,12594.06,108.569482759,7.0,20.1712982348,50701,36.2067241379,3134.15,2015-01-28,2016-03-30
802,4643,RED OAK,177.9,6.58888888889,3030.78,112.251111111,69.0,18.9002469136,51566,37.4533333333,1025.28,2015-01-13,2016-03-29
803,4644,DAVENPORT,1199.65,8.21678082192,13394.52,91.7432876712,82.0,17.856094282,52803,30.6062328767,3701.05,2015-01-06,2016-03-29
804,4645,ELDRIDGE,258.02,3.35090909091,3334.82,43.3093506494,82.0,16.1941995289,52748,14.4471428571,899.08,2015-01-05,2015-11-16
805,4647,WATERLOO,509.67,6.98178082192,6430.7,88.0917808219,7.0,18.240975212,50707,29.3952054795,1331.23,2015-01-27,2016-03-22
806,4648,WATERLOO,1983.87,10.9003846154,48383.45,265.843131868,7.0,24.9952348247,50703,88.6817032967,15798.56,2015-01-21,2016-03-30
807,4650,SWEA CITY,232.22,9.67583333333,2877.23,119.884583333,55.0,13.094288278,50590,39.9866666667,529.56,2015-01-06,2016-03-29
808,4651,JEWELL,400.11,6.35095238095,3763.24,59.733968254,40.0,14.0216809368,50130,20.0465079365,1049.97,2015-01-29,2016-03-24
809,4652,DAVENPORT,1187.37,7.61134615385,24621.19,157.828141026,82.0,23.2589797009,52803,52.6468589744,6276.31,2015-01-12,2016-03-21
810,4653,JEFFERSON,187.06,5.845625,2561.93,80.0603125,37.0,19.8254118105,50129,26.7103125,525.18,2015-01-16,2016-03-21
811,4654,STUART,510.13,7.28757142857,6852.44,97.892,1.0,15.6345327605,50250,32.7374285714,1443.99,2015-01-06,2016-02-23
812,4655,PRAIRIE CITY,178.3,6.36785714286,2590.61,92.5217857143,50.0,18.3664285714,50228,31.0128571429,523.8,2015-01-14,2015-06-10
813,4656,AMES,170.42,5.87655172414,2252.66,77.6779310345,85.0,18.55591133,50010,25.9327586207,134.08,2015-01-06,2016-03-29
814,4657,WELLSBURG,199.5,18.1363636364,1570.8,142.8,38.0,9.50164502165,50680,48.0490909091,194.4,2015-01-07,2016-03-01
815,4658,IOWA FALLS,156.0,13.0,1435.88,119.656666667,42.0,13.3407936508,50126,40.0733333333,238.56,2015-01-14,2015-06-10
816,4659,CONRAD,98.1,4.45909090909,1178.73,53.5786363636,38.0,18.4235281385,50621,18.125,310.16,2015-01-07,2016-03-30
817,4660,CEDAR RAPIDS,464.76,7.61901639344,7868.7,128.995081967,57.0,18.8037431694,52403,43.0339344262,3123.12,2015-01-06,2016-03-15
