,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price Per Liter mean,Zip Code,2015 Volume Sold Liters,2015 Volume Sold Liters mean,2015 Profit Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
88,2590,CEDAR RAPIDS,21912.94,19.9389808917,57,3.6268382689,52402,6.71385805278,7987.13,7.26763421292,3395.57,4070.69,2015-01-05,2016-03-28
89,2591,ATLANTIC,8459.0,16.9519038076,15,2.70004354892,50022,5.70280561122,3497.37,7.00875751503,1680.44,3698.8,2015-01-05,2016-03-28
90,2592,MARSHALLTOWN,2092.9,9.17938596491,64,2.48284473977,50158,7.76355263158,1378.42,6.04570175439,490.38,9757.01,2015-01-05,2016-03-28
91,2593,CARROLL,33730.88,37.6041025641,14,3.09137754386,51401,21.1353957637,13406.82,14.9462876254,5660.39,416.11,2015-01-06,2016-03-29
92,2594,SIOUX CITY,13480.63,18.6454080221,97,3.47519742764,51106,8.65796680498,4829.17,6.67934993084,2762.55,545.26,2015-01-08,2016-03-31
93,2595,DENISON,15142.1,28.57,24,3.11789486827,51442,15.108245283,6756.82,12.7487169811,1582.63,993.43,2015-01-07,2016-03-30
94,2596,OTTUMWA,4781.68,12.4199480519,90,2.44083718494,52501,10.5977922078,2737.63,7.11072727273,1113.24,2817.5,2015-01-08,2016-03-31
95,2597,CHEROKEE,3108.54,22.0463829787,18,2.33711383792,51012,6.81390070922,1590.95,11.2833333333,702.34,1275.15,2015-01-07,2016-03-23
96,2600,OSKALOOSA,3796.99,14.1678731343,62,2.24738371634,52577,8.77649253731,1712.25,6.38899253731,557.1,4464.66,2015-01-06,2016-03-29
97,2601,FAIRFIELD,9659.07,22.7808254717,51,3.51992556869,52556,7.28528301887,3457.66,8.15485849057,2297.46,3519.61,2015-01-05,2015-01-14
98,2602,WEBSTER CITY,8101.06,17.4591810345,40,2.65913590336,50595,10.2677586207,3943.12,8.49810344828,2069.41,2765.67,2015-01-07,2016-03-30
99,2603,BETTENDORF,21338.27,18.6197818499,82,3.41046124547,52722,9.87766143106,8458.7,7.38106457243,3103.43,2310.32,2015-01-05,2016-03-28
100,2604,LEMARS,8735.76,14.781319797,75,2.80832358925,51031,5.97473773266,3794.87,6.4210998308,1477.32,2006.51,2015-01-06,2016-03-29
101,2605,CEDAR RAPIDS,14815.77,20.8086657303,57,3.10271690582,52402,12.4946488764,8283.86,11.6346348315,2608.72,211.07,2015-01-07,2016-03-30
102,2606,HUMBOLDT,6879.27,19.0561495845,46,2.99953304313,50548,9.26326869806,2697.27,7.47166204986,1399.86,1720.41,2015-01-06,2016-03-22
103,2607,SHENANDOAH,9432.72,26.2749860724,73,3.0560320941,51601,10.6297214485,3355.13,9.34576601671,2564.18,733.26,2015-01-05,2016-03-28
104,2609,AMES,776.98,6.42132231405,85,1.85419159124,50010,5.28016528926,471.9,3.9,53.07,4136.34,2015-01-06,2016-03-29
105,2611,OTTUMWA,6348.75,17.7836134454,90,2.95393665685,52501,5.34823529412,2620.59,7.34058823529,1547.95,7110.17,2015-01-06,2016-03-29
106,2612,PERRY,3539.94,10.9257407407,25,2.01852509176,50220,7.28953703704,1754.1,5.41388888889,627.93,5814.83,2015-01-07,2016-03-30
107,2613,COUNCIL BLUFFS,15743.76,19.1763215591,78,3.03563849738,51501,9.00901339829,6061.3,7.38282582217,3346.52,1685.0,2015-01-07,2016-03-30
108,2614,DAVENPORT,24153.29,23.4270514064,82,3.30745468279,52807,14.2383705141,9868.23,9.57151309408,5400.12,4182.9,2015-01-08,2016-03-31
109,2616,CLINTON,26626.15,25.2620018975,23,2.8895915349,52732,11.0421537002,10585.88,10.0435294118,4945.48,2791.4,2015-01-05,2016-03-28
110,2618,CEDAR RAPIDS,4154.84,14.7859074733,57,2.77305157572,52402,6.00733096085,1711.99,6.0924911032,518.57,3618.34,2015-01-07,2016-03-30
111,2619,WEST DES MOINES,23382.96,22.9020176298,77,3.72827057603,50266,11.7583643487,8575.07,8.39869735553,3967.75,2826.1,2015-01-08,2016-03-31
112,2620,WINDSOR HEIGHTS,16622.35,13.5361156352,77,3.21968887175,50311,4.78395765472,6589.11,5.3657247557,3724.13,2572.89,2015-01-05,2016-03-28
113,2621,SIOUX CITY,14595.93,23.6180097087,97,3.00292604453,51105,10.6438834951,5850.95,9.4675566343,3291.98,3299.7,2015-01-06,2016-03-28
114,2622,IOWA CITY,11906.39,22.3384427767,52,3.18703186216,52240,11.1878611632,5053.06,9.48041275797,1117.2,7915.95,2015-01-06,2016-03-29
115,2623,SIOUX CITY,16304.35,15.7987887597,97,3.24246059119,51104,11.2564050388,7128.27,6.90723837209,3260.44,3502.31,2015-01-07,2016-03-30
116,2624,DUBUQUE,15430.99,23.9611645963,31,3.09092760251,52002,9.78736024845,7576.48,11.7647204969,3323.93,3025.19,2015-01-07,2016-03-30
117,2625,DAVENPORT,34160.58,35.1085097636,82,3.24405178364,52804,17.4801438849,12029.17,12.3629701953,9401.06,430.97,2015-01-07,2016-03-30
118,2626,DES MOINES,15598.01,20.178538163,77,3.15277064499,50311,9.09978007762,6020.27,7.78818887451,3523.24,4632.31,2015-01-07,2016-03-29
119,2627,DES MOINES,13056.91,19.4879253731,77,2.58087554182,50310,7.44067164179,5552.31,8.28702985075,2586.89,2070.71,2015-01-07,2016-03-30
120,2628,ELDORA,2529.19,15.7092546584,42,2.2107966085,50627,11.3044099379,1265.5,7.8602484472,727.63,43690.79,2015-01-05,2016-03-31
121,2629,COUNCIL BLUFFS,31374.96,28.6267883212,78,3.08504627733,51503,14.3108576642,11876.3,10.836040146,6682.72,3515.1,2015-01-05,2016-03-31
122,2630,WEST DES MOINES,4772.8,29.6447204969,77,3.90918945916,50266,7.90459627329,1369.73,8.50763975155,1144.84,2388.47,2015-01-05,2016-03-28
123,2633,DES MOINES,183775.3,91.88765,77,4.02266800638,50320,33.570455,61909.75,30.954875,39304.08,2475.68,2015-01-06,2016-03-29
124,2635,DAVENPORT,19304.2,27.2273624824,82,3.51185392666,52807,13.6630888575,6728.43,9.49002820874,3715.65,952.12,2015-01-05,2016-03-28
125,2636,DES MOINES,11613.1,29.4002531646,77,2.80616800046,50317,6.64293670886,5135.82,13.0020759494,2934.32,2315.15,2015-01-05,2016-03-31
126,2637,DAVENPORT,16070.32,24.8382071097,82,2.69183689241,52804,11.357805255,6473.2,10.0049459042,4494.36,2321.39,2015-01-08,2016-03-31
127,2641,COUNCIL BLUFFS,5156.2,17.6582191781,78,2.5062496829,51501,6.26989726027,2015.53,6.9025,800.34,4870.24,2015-01-05,2016-03-29
128,2642,PELLA,11029.84,19.2492844677,63,3.02049786068,50219,8.86731239092,4401.71,7.68186736475,2594.94,3460.93,2015-01-07,2016-02-24
129,2643,WATERLOO,13278.1,19.3276564774,7,3.10790772916,50701,10.972154294,4867.97,7.08583697234,2590.61,6940.38,2015-01-06,2016-03-29
130,2644,FORT DODGE,24767.83,38.7602973396,94,3.48273405182,50501,20.8183411581,8057.78,12.6099843505,4522.13,2649.69,2015-01-07,2016-03-30
131,2647,CEDAR RAPIDS,18897.97,17.7279268293,57,3.34293244517,52411,8.86496247655,6584.19,6.17653846154,4551.43,827.12,2015-01-05,2016-03-28
132,2648,WEST DES MOINES,28898.1,24.4278106509,77,3.62258775003,50265,9.82024513948,9284.07,7.84790363483,7919.35,3415.15,2015-01-06,2016-03-29
133,2649,DUBUQUE,9743.86,12.7370718954,31,2.47917486254,52001,9.20905882353,4773.9,6.24039215686,2453.75,1664.69,2015-01-05,2016-03-28
134,2650,HARLAN,9320.13,22.6767153285,83,3.07518866103,51537,8.27114355231,3510.55,8.54148418491,1818.51,1406.36,2015-01-05,2016-03-28
135,2651,WAVERLY,13173.39,16.2034317343,9,3.27539943666,50677,9.24431734317,5533.34,6.80607626076,3713.52,405.17,2015-01-07,2016-03-29
136,2652,MASON CITY,7861.03,18.8967067308,17,2.53366726445,50401,10.7550721154,3479.16,8.36336538462,2383.72,429.16,2015-01-05,2016-02-29
137,2653,WASHINGTON,6837.29,15.9377389277,92,2.84159408137,52353,10.1754545455,2834.57,6.60738927739,1079.11,176.5,2015-01-06,2016-03-29
138,2655,CLARINDA,2246.06,17.8258730159,73,2.85669751429,51632,8.59555555556,896.52,7.11523809524,525.87,89.8,2015-01-08,2016-03-31
139,2656,CORNING,2392.54,14.0737647059,22,3.35815814045,51632,6.21182352941,777.06,4.57094117647,386.48,824.89,2015-01-05,2016-03-28
140,2657,BEDFORD,876.51,7.82598214286,87,2.50906486827,50833,8.39223214286,466.28,4.16321428571,189.28,899.49,2015-01-06,2016-03-29
141,2658,MOUNT AYR,698.83,15.8825,80,2.01270923521,50854,14.6654545455,390.0,8.86363636364,67.0,1613.3,2015-01-06,2016-03-22
142,2660,SIOUX CENTER,3487.22,12.5439568345,84,2.824595181,51250,7.3476618705,1420.0,5.10791366906,754.26,5143.65,2015-01-06,2016-03-22
143,2661,SHELDON,11462.93,31.2341416894,71,2.71676824863,51201,9.56346049046,3802.09,10.3599182561,1221.3,5843.47,2015-01-13,2016-03-22
144,2662,MUSCATINE,6978.65,14.069858871,70,2.93165152886,52761,6.41461693548,2741.94,5.52810483871,1667.92,3791.02,2015-01-06,2016-03-29
145,2663,URBANDALE,32645.29,41.7458951407,77,3.68513830903,50322,12.756112532,10060.92,12.8656265985,6101.65,551.41,2015-01-06,2016-03-29
146,2665,WAUKEE,21942.84,26.2474162679,25,3.57636001246,50263,13.4488636364,7471.09,8.93671052632,4265.9,110.7,2015-01-05,2016-03-28
147,2666,ANKENY,18832.62,17.5513699907,77,4.0397983859,50023,9.02863932898,6795.68,6.33334575955,3989.53,214.79,2015-01-07,2016-03-31
148,2667,SIOUX CITY,1426.63,11.8885833333,97,2.51742592593,51104,6.0825,694.2,5.785,192.63,10057.99,2015-01-05,2016-03-28
149,2668,LEON,779.69,17.7202272727,27,3.13626262626,50144,6.93909090909,257.0,5.84090909091,72.43,1140.76,2015-01-05,2016-03-29
150,2669,CORYDON,1673.63,15.3544036697,93,2.5199781564,50060,7.87119266055,691.75,6.34633027523,391.97,1373.42,2015-01-07,2016-03-30
151,2670,CORALVILLE,40378.07,33.7045659432,52,3.57476956188,52241,13.445509182,13860.95,11.5700751252,8424.22,495.54,2015-01-22,2016-03-31
152,2671,JEFFERSON,6127.21,31.2612755102,37,2.98288305799,50129,31.1077040816,3122.0,15.9285714286,1506.84,126.23,2015-01-07,2016-03-23
153,2806,CLINTON,8521.39,22.0190956072,23,3.19773501195,52732,12.6593023256,3154.41,8.15093023256,2072.99,250.86,2015-01-16,2016-03-30
154,2835,CEDAR FALLS,2001.32,17.4027826087,7,2.25346123764,50613,16.5866956522,991.5,8.62173913043,231.33,190.78,2015-02-05,2016-03-31
155,2836,WATERLOO,452.58,10.2859090909,7,2.44501713564,50703,3.20704545455,206.37,4.69022727273,38.41,214.31,2015-03-03,2016-03-29
